City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
369,Tuka,PH,80.4,light rain,6.52,124.585,Fabale House
370,New Bern,US,84.22,overcast clouds,35.1085,-77.0441,Hampton Inn New Bern
372,Singaraja,ID,79.29,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
377,Sahuaripa,MX,82.45,scattered clouds,29.05,-109.2333,Estatua de Sahuaripa
378,Marsh Harbour,BS,82.94,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
379,Vostok,RU,74.48,clear sky,46.4856,135.8833,
381,Maumere,ID,77.81,overcast clouds,-8.6199,122.2111,Sylvia Hotel
382,Marawi,PH,75.56,overcast clouds,7.9986,124.2928,Derogongan Residence
386,Poum,NC,74.43,clear sky,-20.2333,164.0167,
389,Sawang Daen Din,TH,80.19,few clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
390,Formosa,AR,73.38,clear sky,-26.1775,-58.1781,Asterión Departamentos
391,Baoqing,CN,78.42,clear sky,46.3317,132.2111,Baoqing Hotel
398,Baniachang,BD,75.85,few clouds,24.5167,91.3667,ভটে বাড়ি বানিয়াচং হবিগঞ্জ
399,Vila Franca Do Campo,PT,74.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
401,Kailua,US,84.18,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
402,Daru,PG,77.02,overcast clouds,-9.0763,143.2092,Daru Lodge
405,Lalmohan,BD,81.37,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
411,Hue,VN,82.51,few clouds,16.4667,107.6,Saigon Morin Hotel
414,Palu,ID,79.65,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
415,Assiniboia,CA,75.02,broken clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
417,Paka,MY,78.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
421,Yubari,JP,73.74,overcast clouds,43.0378,141.9578,合宿の宿ひまわり
422,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
424,Mangrol,IN,81.21,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
428,Ketchikan,US,73.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
431,Kutum,SD,77.36,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
432,Qixingtai,CN,81.16,overcast clouds,30.4135,111.8874,Hualian Hotel
433,Tecoanapa,MX,81.45,overcast clouds,16.5167,-98.75,Hotel Manglares
435,Maubin,MM,79.97,broken clouds,16.7333,95.65,SSB office
436,Fujin,CN,79.05,clear sky,47.26,132.0322,Xilong Hotel Fujin Shop
438,Cabrera,DO,80.44,broken clouds,19.6426,-69.9049,Terramar Hotel
440,Iskandar,UZ,76.05,clear sky,41.5539,69.7008,Forel мехмонхонаси
441,Cheyenne,US,79.09,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
442,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
445,Harper,LR,74.8,overcast clouds,4.375,-7.7169,Screensaver
448,Mackay,AU,71.69,clear sky,-21.15,149.2,International Lodge Motel
449,Wewak,PG,81.91,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
452,Lodwar,KE,78.55,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
453,Boyolangu,ID,74.01,scattered clouds,-8.1181,111.8935,Yos ega cv
457,Tianpeng,CN,75.67,light rain,30.9866,103.9393,Shuangliu Love Home Business Hotel
460,Kenitra,MA,72.36,scattered clouds,34.261,-6.5802,Bienvenue chez vous
462,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
464,Shenavan,AM,76.51,clear sky,40.0549,43.9288,Ծիրանի այգիներ
465,Haapiti,PF,82.13,moderate rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
467,Nushki,PK,80.42,scattered clouds,29.5542,66.0215,Shams hotel
469,Shenjiamen,CN,80.69,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
471,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
473,Lincoln,US,81.28,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
477,Chimore,BO,76.84,overcast clouds,-16.9833,-65.1333,Bichito
478,Kavieng,PG,84.9,broken clouds,-2.5744,150.7967,Nusa Island Retreat
479,Banda Aceh,ID,78.17,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
486,Gumdag,TM,84.24,scattered clouds,39.2061,54.5906,
487,Hamilton,US,78.76,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
488,Guerrero Negro,MX,75.94,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
489,Madingou,CG,70.39,scattered clouds,-4.1536,13.55,HOTEL KIM ELISA
490,Panaba,MX,78.73,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
492,Rosario,AR,73.94,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
493,Gandorhun,SL,71.91,scattered clouds,7.5,-11.8333,
494,West Lorne,CA,75.69,scattered clouds,42.6001,-81.5998,
495,Mumford,GH,74.03,light rain,5.2618,-0.759,Spanish Villa
496,Gashua,NG,84.06,overcast clouds,12.871,11.0482,Forte Oil - Old Lorry Park
498,Santa Teresita,PH,80.78,overcast clouds,13.8664,120.9814,Ataalaya Farmhouse
500,Halifax,CA,71.49,broken clouds,44.6453,-63.5724,Hotel Halifax
502,Urucuca,BR,70.61,scattered clouds,-14.5931,-39.2844,Pousada
503,Cochrane,CA,77.2,few clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
508,Fonte Boa,BR,73.9,few clouds,-2.4959,-66.2662,
509,Awjilah,LY,82.53,clear sky,29.1081,21.2869,المنزل
512,Mango,US,77.32,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
517,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
519,Dharchula,IN,72.43,overcast clouds,29.85,80.5333,Mahara Hotel
522,Chunhuhub,MX,76.8,overcast clouds,19.55,-88.6833,
523,Porto Walter,BR,75.79,overcast clouds,-8.2686,-72.7439,Hotel Silva
526,Sao Filipe,CV,77.2,broken clouds,14.8961,-24.4956,Hotel Xaguate
527,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
529,Tezu,IN,77.47,broken clouds,27.9167,96.1667,Circuit House
530,Indramayu,ID,77.16,few clouds,-6.3264,108.32,Grand Trisula Hotel
532,Road Town,VG,80.69,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
535,Palmas,BR,75.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
539,Charters Towers,AU,71.58,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
541,Urucara,BR,76.35,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
542,Lethem,GY,74.34,overcast clouds,3.3803,-59.7968,Savannah Inn
544,Bani,DO,83.86,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
546,Centerville,US,74.89,broken clouds,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
547,Iracoubo,GF,78.93,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
549,Siverek,TR,77.2,clear sky,37.755,39.3167,Mercan Hotel
550,Periyanayakkanpalaiyam,IN,74.79,mist,11.15,76.9333,BIRIYNAI CORNER
551,Langsa,ID,76.32,light rain,4.4683,97.9683,OYO 3328 Hotel Mori
555,Paracuru,BR,79.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
558,Baherden,TM,82.24,scattered clouds,38.4362,57.4316,
560,Shingu,JP,83.73,overcast clouds,33.7333,135.9833,Shingu UI Hotel
562,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
564,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
565,Ust-Maya,RU,78.87,clear sky,60.4167,134.5333,
568,Edremit,TR,76.75,clear sky,39.5961,27.0244,Adramis Thermal Hotel
569,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
572,Itarema,BR,77.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
573,Vaitape,PF,78.44,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
574,Kuah,MY,80.58,few clouds,6.3265,99.8432,Azio Hotel
576,Zharkent,KZ,78.03,broken clouds,44.1628,80.0,гостиница Satti
579,Birao,CF,70.84,overcast clouds,10.2849,22.7882,
580,Savignano Sul Rubicone,IT,80.73,clear sky,44.0953,12.4086,Hotel Ristorante Cesare
581,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
582,Dauphin,CA,71.74,clear sky,51.1494,-100.0502,Canway Inn & Suites
584,Olinda,BR,71.33,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
586,Portoferraio,IT,81.16,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
587,Boundiali,CI,71.62,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
592,Hirado,JP,80.53,clear sky,33.3597,129.5531,Samson Hotel
593,Labuhan,ID,78.94,few clouds,-6.8844,112.2051,DoubleFAG
595,Marzuq,YE,81.18,overcast clouds,14.4,46.4667,
600,Bonthe,SL,76.05,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
601,Guia Lopes Da Laguna,BR,72.75,clear sky,-21.4578,-56.1142,Donna Lu
606,Erie,US,75.0,clear sky,42.7667,-78.6664,Roycroft Inn
608,Mayor Pablo Lagerenza,PY,77.25,clear sky,-19.9309,-60.7718,
609,West Lafayette,US,75.22,overcast clouds,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
611,Rabo De Peixe,PT,73.27,few clouds,37.8,-25.5833,Quinta das Giestas
612,Bandarbeyla,SO,77.81,clear sky,9.4942,50.8122,JABIR HOTEL
614,Yumen,CN,82.04,clear sky,40.2833,97.2,
617,Moerai,PF,70.7,clear sky,-22.4333,-151.3333,Le Manotel
618,Miles City,US,83.37,few clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
619,Kamaishi,JP,79.9,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
620,Heihe,CN,77.58,moderate rain,50.2441,127.4902,Hotel Strannik
622,Tual,ID,79.16,broken clouds,-5.6667,132.75,Grand Vilia Hotel
623,Waterloo,CA,73.89,clear sky,43.4668,-80.5164,The Walper Hotel
625,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Base Lodging
626,Bintulu,MY,73.81,moderate rain,3.1667,113.0333,900 Boutique INN
628,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
629,Greece,US,73.81,few clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
631,Teguise,ES,73.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
632,Kindu,CD,71.4,overcast clouds,-2.95,25.95,Résidence Okanda
637,Wanning,CN,84.96,scattered clouds,18.8003,110.3967,Paradise Hotel
638,Nakhon Thai,TH,81.37,clear sky,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
639,Barkhera,IN,78.94,moderate rain,28.45,79.8,Jay Guru Dev Hotel and restaurant
640,Piracuruca,BR,73.4,overcast clouds,-3.9281,-41.7092,Pousada Piracuruca
642,Freeport,US,80.58,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
643,La Tuque,CA,73.65,overcast clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
648,Dengzhou,CN,77.11,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
649,Hailar,CN,74.59,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
650,Bonito Oriental,HN,83.82,overcast clouds,15.7477,-85.7356,Hotel Las Acacias
652,Zhenhai,CN,84.88,clear sky,24.2582,118.0905,In Zhijian Guesthouse
653,Katobu,ID,81.1,broken clouds,-4.9408,122.5276,La Ode Husein
656,Benghazi,LY,79.7,clear sky,32.1167,20.0667,Tibesti Hotel
657,Gucheng,CN,74.82,light rain,35.9115,111.3192,古城宾馆
658,Yatou,CN,78.91,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
659,Bafra,TR,70.83,clear sky,41.5678,35.9069,Sevgi Otel
661,Alexandria,EG,76.96,scattered clouds,31.2156,29.9553,Royal Crown Hotel
662,Progreso,MX,77.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
664,Le Mars,US,80.11,overcast clouds,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
665,Phatthalung,TH,79.81,overcast clouds,7.5,100.0833,Ozone Resort & Pool Villa
671,Borba,BR,79.38,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
672,San Marco In Lamis,IT,72.52,broken clouds,41.7131,15.6399,Hotel Ristorante Rossemi
677,Eyl,SO,76.93,clear sky,7.9803,49.8164,Amiin Hotel
680,Samarai,PG,79.48,broken clouds,-10.6167,150.6667,Nuli Sapi
682,Yantai,CN,77.34,overcast clouds,37.5333,121.4,Yantai Seaside International Youth Hostel
